Summary,Sentiment,Rate
wifi disconnected issuesi am facing related to wifi get disconnected after playing video for nextforward the videopushpendra kumar noida,negative,1.0
not like alexa in accurate and mostly not answering i cant even return it,negative,1.0
very waste products this car dont buye tha car pls very waste car,negative,1.0
i dont recommend anyone to buy this product because it is not worthy,negative,2.0
nice dinner set but packing was not good due to which 1 bowl was broken,negative,5.0
quality is not good as shown in picture its very sensitive it will break,negative,3.0
very very dirty product and worst quality please dont buy this boring product,negative,2.0
stumps are goods but it takes too long time for delivery when i got stumps that time our cricket tournament had been over delivery service is very worst,negative,1.0
dont buy its an use less product we are not able to print 100pages cost us too high,negative,2.0
it s not working on my android phone wastage of money,negative,1.0
nice product for day but night in light system no available,negative,4.0
very bad service and product stopped working within 6 months,negative,1.0
worst product do not buy this very bad quality and bad aesthetics high price bought 1 month back and already it has started giving troubles,negative,1.0
very bad quality as some of the balloons are defected,negative,1.0
ordered 2 kits in 1st kit there was no liquid serum to blend and put droplets on the testing tube had to use the 2nd kit which was fine,negative,3.0
everything good but cant turn off light disturbs sleep at night,negative,4.0
not good as in the advertisement but can use to only some extent,negative,2.0
number and letters are not glowing only 3 rgb light expetion not match mouse is nice but keyboard not satisfying,negative,1.0
looks cheap not as shown in pics no branding looks like used before the brand tag cut off very disappointed,negative,1.0
dont buy poor built quality back panel of the laptop is loosely fit and sound is coming duringvusage,negative,1.0
very worst i bought one only one month working now not working so sad,negative,1.0
i ordered this power bank in july but after 5 months my power bank is not working properly connected and disconnected in 2 sec mobile is not charging worst product,negative,2.0
product third class sound is worst voice detection is even worsevery slow product total waste of money and flipkart service is even worse not returning the product,negative,1.0
dont buy worst phone problem with mic cant hear what other person saying in call,negative,1.0
not up to the mark average range no light inside,negative,2.0
worst product after 4 months heavy water leaking still not responding customer service team dont buy this product,negative,1.0
quality of the is not that good and space in per box is less,negative,2.0
worst android stickheats very fast and lags in speedbetter to buy an mi android box as compared to the stick,negative,1.0
working fine but sometimes the tubicast stop working the app isnt updated since 2017,negative,4.0
bat nice but stickers not good and bat side is very big,negative,3.0
not at all working after a month of use dont buy,negative,1.0
used for just 4day now its not powering oncommon issue with google home miniplease buy after proper research,negative,1.0
very bad product shoe shole broked after 2 month dont buy it,negative,1.0
its not that much effective im not satisfied with the choices you gave,negative,1.0
very very poor quality productvery weak shelf3rd class product waste of money,negative,1.0
installation team is not good not not be demo and installation team not supported not proper working be demo and installation team not supported not,negative,2.0
wasting of money the quality and the price value is so different,negative,1.0
was not of good quality and the size of the black colour and also the quality was poor,negative,1.0
outside fridge fully heat and water drops come from de fridge and waste fridge,negative,1.0
good but they are not given even single jar also for this cost its not good,negative,5.0
worst product iam just using a month touch pad not working properly iam strongly recommend dont buy this product,negative,1.0
very bad quality speaker i purchase from flipkartbattery backup is not good anly 20 min backup in full charge,negative,1.0
the big plates size should b big bcoz in it while eating food we cant keep bowls too otherwise quality is amazing but plate size disappointed metoo small,negative,3.0
not satisfied with the product first received a broken set returned and received the second set in that also the shelves were broken completely dissatisfied with the product waste of money,negative,1.0
just came here to mention that after use of around 6 months it burnt up and stopped working thats it okay bye,negative,1.0
vary bad item money wasteso dont buy this type of product,negative,1.0
very very bad seeds are just 10 in each variety quantity is very bad i got same variety of seeds in 3 packets i didnt gett all varieties of seeds as shown in picture,negative,1.0
poor and cheap plastic too small and remote is not responsive,negative,1.0
wheels quality is very poor back wheels not working properly from days 1st no customer service,negative,2.0
do not buy this product it is very bad product,negative,1.0
my laptop turned off itselfand not turning onmost probably it could be happened by battery failure,negative,1.0
nice but power bank connect mobile for charges mobile hend set is hit hot the mobile body,negative,4.0
iys not a excellent product and grinding time also high we need to add small quantity of material not full amount at a time i dont recommend this product for purchase,negative,3.0
squeezed in to falt in 1 week waste of money,negative,1.0
after 6months not giving speed charging taking more time to charge,negative,2.0
it didnt work properly battery is shut down after 1 week,negative,1.0
not worth it as you wont be able to connect with youtube or any streaming services,negative,2.0
damage product recvdn after so many calls n chaseups no body taken care of this i reqquest everyone to never buy anything from flipkartvery bad experience i have,negative,1.0
poor quality no spire available pin broken in three days,negative,1.0
this bat is very bad dont buy this bat because it completely made up of chunna and they didnt use any kinds of wood in making of this bat,negative,2.0
not easy to assemble almost hurt myself while using screw driver need drill machine,negative,2.0
bought it to mix with unflavoured whey protein powder but did not liked it despite adding sugar3 stars bcz powder forms froath even with milk,negative,3.0
crystal ball is falling down no fragrance after one hour of installation no value for money,negative,1.0
seeds are not good condition i found 39 varient out of 45 and also seeds quantity is too less in all packed i think in all pack not more than 1000 seeds,negative,1.0
its claiming that its a qc3a changer but when i use the charger to change my mobile its taking longer than usual so i have returned the charger please check before buying this product,negative,2.0
its good football in low price and have no blader as a basketball,negative,5.0
very poor quality very upset with flipkart never expected such bad quality product from flipkart,negative,1.0
product is nice and i could have given 5 stars but one thing which i found weird is few screws are not getting fit,negative,4.0
one month completed i have raised a complaint still its not been resolvedthe product is picked by the return pick up guysbut still not showing in flipkarts system about the returnvery bad experience,negative,1.0
its good but oily n not better than maybelline colossal kajal,negative,3.0
dont buy very worst product battery charging problem dont buy,negative,1.0
product was good but installation team was very irritating and asking for extra charge,negative,3.0
bought last year on december and didnt last long the motor got broken,negative,3.0
the characters are not well printed on the button keys,negative,3.0
worst product quality issueplastic productspls all friends dont waste your money and time dont buy this product,negative,1.0
worked for only 3 monthcall centre no does not exist,negative,1.0
sound quality is third class i do not recommend this to anyone,negative,1.0
not switched off automatically while in other company this option is available,negative,1.0
i am using alexa and now google nest to be honest i did not likes the product at all its microphone is pathetic,negative,1.0
thought it was a nice one but its not working properly found fire coming out of it,negative,1.0
very very worst product total waste of money and service was very worst totally waste of money for this product,negative,1.0
very very bad product not working after buy 2 days small wire very bad,negative,1.0
this product is as good as it has been shown no i am not happy with this product i would advise you not to take it,negative,1.0
there is no sleep sensor and even when you wave to stop the music or play it will not respond,negative,2.0
not working waste of money no return dnt buy this product,negative,1.0
very bad quality dont expect qith description and pictutes shown only 1ply and small in size,negative,1.0
clothes quality is very poor stitching is also not good fitting is also very bad,negative,2.0
poor quality height is less than the picture shown store area height is also less runners are very very poor quality,negative,1.0
in my first load of dishwasher dishwasher doesnt clear utensils clearly and leave so much stain its totally wastege of money i used first time in 35 minutes cycle,negative,2.0
the grinder is not working properlyit is not grinding the urad dal completelyreturn pickup is also not happening,negative,1.0
it was good but some functions of watch were not working like music,negative,3.0
charging issuesonly one 500mah battery includedplaying time 15 only minutes,negative,1.0
not useful refilling done as per direction but unuseable waste of money,negative,1.0
packing experience is very bad and no box for damage protection,negative,3.0
not a good product dont buy the stitches are not good the left leg is stitched thinner than the right leg i returned it really disappointed,negative,1.0
nice no doubt go for it just corners are very sharp be careful guys it will injured by that corners if in your home have small kids be careful,negative,4.0
tv stopped working within 10 days only due to circuit board problem service center person said will be getting new tv in 10 days i dont know what quality check they are doing,negative,1.0
bad quality blanket this is not a heavy winter blanket this is fine for a mild winter,negative,1.0
worst product do not buywithin 2 weeks it has been dead,negative,1.0
very very worstpls dont buy anyoneuts not working properly waste of money,negative,1.0
useless kits if you need to test you will require two kits as liquid is not sufficient in each kit for testing so need to use two kits for the liquid not recommended,negative,2.0
very bad product not usefuldue to no return policy not able to return this product please dont buy it,negative,1.0
burning smell from iron box too late to iron the clothes,negative,1.0
installation not done even after 1 week following up with customer care but no solution provided dont know when it will be done pathetic service from flipkart,negative,1.0
very worst quality anybody dont purchase 4 cushions dose not have forms inside,negative,1.0
very bad quality and battery backup is only and only 9 hours so request to all customers dont buy,negative,1.0
think before buying stopped working after 10 days of purchase waste of money,negative,1.0
prise is more than mrp and it print only 15 to 20 pages fully wastage of money,negative,1.0
it is third time i bought this type of wardrobe it is the worse one plates were not strong as before and cloth length is bit short,negative,2.0
quality is not good as per the price this thing is not a longtime product,negative,2.0
no objections with the product but about the cost its expensive,negative,4.0
very bad productmost of the packets contains only 45 seeds,negative,1.0
camera is good but i received this product after one month the bad courier service,negative,5.0
i hate this watch this is not working properly worste watch,negative,1.0
everything works fine except wifi stop working after 1 months,negative,3.0
the product of flipkart is very bad v ery very bad product i dont like flipkart,negative,2.0
the product is very waste and bad product and low battery pickup,negative,1.0
dont purchase any routerelectronic device from flipkart technician came and verified it is not working now got message it is not refundedjust 1 day after purchase i saw it is not workingalways avoid,negative,1.0
not good enoughit restarts automatically specially during starting upnot recommendedhowever i have received a company sealed product from seller with in the committed delivery date,negative,1.0
waste of money waste quality nd low quality dont buy any more,negative,1.0
90 minutes program completed in 70 minutescleaning quality is not good white patches observed even quality detergents used,negative,2.0
connectivity is very poor in mirror screen pd and hard disktoo much lagging without installing external applications,negative,1.0
received a damage item side selves are very small also installation has been done my self very very disappointed on flipkart,negative,1.0
not working after use of only two monthswaste of money,negative,1.0
m really disappointed with the reduction bought this 3 months backhand today the motor is sparking and giving burnt smell while operating didnt expect this from such a big brand,negative,2.0
as of now we are satisfied but detergent dispenser was loosed and removed from the tub in the second day itself service engineer is denied to give new one without pay,negative,1.0
very worst experience with this not all recommended this product please do not buy there is no return,negative,1.0
im a youtuber little king gaming and bought it for my pubg live streaming but threads started coming out within 5 daysnot recommendednote not a fake reviews,negative,2.0
worst product i ever seen totally waste of my money,negative,1.0
more efficient more spacious value for money 2020 modelthe design is a bit boring oneyet shining material,negative,5.0
the machine is not working after 30 days of buying we have used it for 10 days maximum dont know whats wrong i will not buy anything from kent in future,negative,1.0
its very tipcial laptop dont give ms office with laptop,negative,2.0
worst product i ever purchased the delivery partners are so worst than the product i wont ever purchase anything that is flipkart product i mean the products flipkart is making by there name,negative,1.0
product is excellent but built quality and fitting is not satisfied,negative,4.0
it cant handle min load and its been 2 times motor got damaged with in six months,negative,1.0
dont buy this refrigerator waste of money water droplets are forming inside the refrigerator and the door is not locked properly,negative,1.0
flipkart 455 hindware chimney 15after using 1 month it is giving heavy electric shock if anyone try to touch it its electric circuit is cheap dangerous for home uses i regret why i brought it,negative,1.0
product was goodbut sound was very low not high sound effect,negative,5.0
quite a good product but if your considering battery performance dont go with it,negative,3.0
need to test it for few daysfew doubts about the product genuinitylogo pasted with sticker,negative,4.0
looking nice the plate is bit smaller than the usual size a little part of a plate has been broken which is negligible so i kept that,negative,5.0
poor battery back up and no refund option disappointing and very bad experience,negative,1.0
child safety lock is not working this is worst thing when you gift a broken air purifier to someone it is flipcarts fault,negative,1.0
dont waste money this product is not good its only been a month the clock suddenly stops,negative,1.0
bro dont buy this product it suckspoor product poor costomer services,negative,1.0
very cheap smell attar smell not worth able please dont buy the product there many companies like fogg and wild stone smells nice go for it dont waste money,negative,1.0
worst part is you cannot boli milkthis is good for boling water onlyexcessive heating problem in washing alsowaste of money,negative,1.0
1 mant not working serves santer is not replace tha power bank,negative,1.0
worth for cost we purchased it for cleaning artificial grass mat suction power is goodlengthy cable but heat emitting is bit high otherwise low budget superstar vaccum,negative,5.0
useless and worthless machine this machine is black spot on brand motorolanot even clean little stain cloths and also damages the clothes,negative,1.0
never purchase this product wastage of money i received product but it damaged within two days within two days it damaged,negative,1.0
just owsome productit charged my i phone 13 from 30 to 90 in just 50 minutes,negative,5.0
chimney fan stopped just after 3 months seems bad quality product 590 is installation cost 1650 extra for 15 feet aluminium pipe,negative,1.0
the performance is not up to the mark chimney suction power is not good as described by the product,negative,2.0
the quality of cloth is very bad it is like a 100 rupees road side product worth product do no buy it,negative,2.0
not at all worthynot handy heavy in one handtoo much back light on screen not good for reading over size ratio with screen,negative,1.0
it looks cheap plastic material used on outer body delivery was on time installation bad experience hul pureit is a big brand but services are pathetic,negative,3.0
book is a must and its one stop solution for geography for upsc im not satisfied with the condition of the book as it got wear and tear while shipping,negative,3.0
cloth is good but poor quality stitching very worst in stich and not delivery to door,negative,2.0
it is the copy of redmi 9 and its performance is so bad,negative,2.0
nice product but hangging hole so weak it vry difficult to attach on wall,negative,4.0
dont buy this is speaker your face many problem in one month,negative,1.0
totally waste of many please dont buy these i am youtuber i really suggest you dont buy these ok,negative,1.0
very bad productonly 5 days i used only 5 days and sole are breaks and leather also are crack worst product,negative,1.0
product making lot of noise vibration and too much heating issues tried returning it but return period over as i was hospitalized please return it,negative,2.0
worst productand then wiring is not good don buy guys,negative,1.0
waste of money all heavy things settled below blade and does not get grind not recommended,negative,1.0
worst item not worthy for money it is not according to the picture shown here,negative,1.0
pathetic product by bajajmotor winding started releasing fumes in month of usage,negative,1.0
dont buy poor camera dont find jio fiber high speed band,negative,1.0
i am writing only cons here because its google and its great for hindi its bit difficult sometimes google cant hear you,negative,5.0
waste product dont buyit is spoiling food at bottom of the vessel water rice ratio is full different really so bad waste of money but looking good but no use,negative,2.0
quality of this product is not so good rather average in this price range,negative,3.0
very bad experience this cooler not god and price high,negative,1.0
this device is making weird disturbance sounds when i play anything before 1 year,negative,1.0
worst product ever not working with hp 803 it spoiled my house it wasted my 500rs please dont buy,negative,1.0
installation has not been done after 8 days of purchase,negative,2.0
it was working good in the initial stages now its not working suddenly,negative,1.0
its totally waste product it will work for 3 days properly and then many problems in car,negative,1.0
plates and bowls are little bit small but you can go for it,negative,3.0
no pencil and keyboard with tabalso not available for purchasing separately,negative,1.0
its not working after 2 days dont buy it buy it cheeeeeeee waste of money,negative,1.0
it is showing error on switching on the camera unable to capture any picture flipkart is cheating people by selling defective products,negative,1.0
poor quality of jar and cap build quality is not good low quality jar head bottom plastic and steel mixture life up to 6 month,negative,1.0
its low quality plastic and its not at all working even after the charging and fixed battery,negative,1.0
very bad product remote not working and car also not in good condition,negative,1.0
it will be up and down after 10days usingwaste product,negative,1.0
worst product of realme unable to connect with wifi and bluetooth connection,negative,1.0
1camera waste 2charging slowly 3not hearing on call and speaker also waste,negative,1.0
takes too much time not good nd its chinese product dont buy it,negative,1.0
i returned it bcoz product is not good i purchased is to clean my pet hair but did not worked,negative,2.0
this kajal really not ok not msudged proof really not ok,negative,2.0
waste products loss of money and customer care didnt solved my problem waste waste product,negative,1.0
installation technician response its to poorbt another its goodcast its not directly connected on mobiletake some app to use connect thatover all performance its goodworth it,negative,5.0
not upto the mark external chord and external plug points are of least quality god only knows the quality of material used inside the boxbetter avoid this product and go for branded one,negative,2.0
bad mobiledont buy this mobile varry hanging and camera quality poor,negative,1.0
worst quality butterfly mixer and regret with the purchase very very poor quality it is not grinding properly blades are blund and not sharp enough to grind,negative,1.0
very bad experienceafter 3 months it start lagging and its bluetooth and wifi not working,negative,1.0
ball is very thick and the air is not going inside,negative,1.0
mouse connection response is not goodnot responding sometimesside loaded app icons are not showing in main screenevery time it needs to be opened from settings pixels are very poor,negative,1.0
pls dont buy it not good for hard tennis ball handle craked,negative,1.0
after using for one year the router has stopped for wifitill that time it hasnot given any trouble though,negative,3.0
excellent product at this price the exhaust pipe provided is useless,negative,5.0
material used in manufacturing is of lower grade hence purchasing at this price is not worth,negative,2.0
very thin layer low quality materials it is not good material,negative,1.0
it can not hold hot or cold for more time,negative,1.0
its not as good as expected suction power is low even on 3,negative,2.0
useless ice tray the ice tray water goes to the water filled in the below container obviously 100 ml of cold wouldnt gonna cool the 75 liter of water,negative,1.0
not moving forward after 1 week cant return dont buy,negative,1.0
good but after using for 1 month it is damaged,negative,4.0
best in price rangei bought it in offer but didnt get free installation so do check once,negative,4.0
good but work only for online tubicast not cast mobile storage vdo audio and litile costly and totally wasted product,negative,1.0
it not worth it even gtx 1650 does a better job than 3050 because of the heating thermals in thia system is close to volcano itself i would say dont go for it,negative,3.0
good product i used this for few times but there have no any problems,negative,5.0
in this price range ill strictly say noyou can purchase by seeing the color of blanket not so comfort but product color is same mentioned in app,negative,3.0
quality is very low its sound when running in low speed,negative,3.0
moon lamp is very nice but stand is very bad nonstable,negative,4.0
touch screen stopped working after 3 month of use the online products are not good,negative,1.0
item is vry bad i hate flipcart item this watch is,negative,3.0
ive bought one day before this product and the built quality is very poor and worst it has broken while fitting the base stand,negative,1.0
worst washing machine pls dont buy this product today it is not working and doesnt know who should connect for service,negative,1.0
poor sound quality dont take this if you need to watch movieonline class and gamesonly you can use paint and notepad,negative,1.0
memory card 64 gb but space is 59 gb i am not happy flipkart,negative,3.0
worst charger taken not completed 9 days also not working dont take this charge some one taken this charger for cheap and best but worst charger,negative,1.0
the qr code is printed at the wrong side and the apps is not able to read the qr code so the result can not captured,negative,1.0
not good while cooking rich water come out dont buy not good material,negative,2.0
very shaky pls dont buy it if u want for writing purpose,negative,2.0
product good but flipkart delivery service is very very very bad,negative,4.0
ok but costly product small office use emergency only not commercial use,negative,3.0
your service is very slow my one order i am waiting 26sp 22order 10th oct not delivered occasion are gone but my gift not delivered is my friend i am very fedup my mood off,negative,1.0
dont buy just looking at the ratings product is not good up to its rating sound quality is vary poor and cables provided in the box are not good sound feel is below average,negative,3.0
the product is vary low quality price is vary high,negative,1.0
quality product but the dinner plate is slightly smaller in size,negative,5.0
motor speed gradually reduces while grinding very very worst product please do not buy flipkart always selling poor products only,negative,1.0
worst productstop working after 2 weeksno option to repairreplacenever going to order such item from flipkartvery bad service bad product,negative,1.0
dont buy this product if you store multivitamins the tabs will go soft as the containers are not airtight its basically a waste of medicine,negative,1.0
in this crompton 88l air cooler problem in front panel air also flow downward its stip not hold,negative,3.0
the product got burnt after using it for 3days i really hated it no refund from flip kart horrible product seller is cheating everyone by giving faulty product,negative,1.0
this table is not comfortable for adults i cant fold my legs while using table this is good for kids not for elders i will not recommend for office work,negative,1.0
its not made for carits for autorickshawvery low qualityplzz dont buy for any carsit support only 2 speaker with very low bass effect,negative,1.0
worst product im very disappointed lots of bugs hdr format doesnt supportedpls go to fire stick,negative,1.0
the quality of product is very bad nd we cant control it with remotethis is the wastage of money,negative,1.0
a lot of noise is coming while the machine is working,negative,2.0
dont buy waste of money go for matt glass or powder,negative,1.0
product is workingbut wire length is little smalland not good quality product quality will know only after working few days,negative,2.0
waste product for home use it cannot be used in home because of it makes very noise and hot water vapours,negative,1.0
some update required is not work properly for tracking health activity,negative,3.0
very good inverter i used last 3 month no problem,negative,5.0
its mentioned 8 gb memory but actually its 4 gb also its working very slow i made a mistake buying this tv,negative,3.0
about diet session was very good and gave some tips by dietitian was very helpful to control my weight,negative,1.0
entirely different product can be used only by a 1 year child,negative,1.0
most of the apps dont change to landscape mode in this tab so simply useless cant use keyboard provided by realme as the apps dont change interface simply stupid tablet please avoid,negative,1.0
its only working two months it had two warranty smartbuy team not responding and flipkart also not responding my advice is to buy outside on electrocal products,negative,1.0
cons low brightnesslow sound as compared to asus tuf 15 inchprosprice 4825017 inch,negative,3.0
after 1 week they have broken whealreally such a messy cheap product,negative,1.0
paper quality is poor i felt like i am reading dialy news paper paper quality is not good,negative,3.0
just came here to mention that after use of around 6 months it burnt up and stopped working thats it okay bye,negative,1.0
terrible pls provide some lengthy and easy to attach rods for connecting such a menace to assemble it will really test your patience,negative,1.0
pre filled tube for test is blank no liquid kit is wasted as test cannot be carried put poor quality control and waste of money better to buy such products from neighboring chemist,negative,1.0
never buy the productwill got damaged within months of usage,negative,3.0
the quality is worst everytime i use it it gets format automatically after 2 to 3 days,negative,1.0
i received damaged product no one response correctlyfinally dont buy electronic products in flipkart i received fourth time damaged product,negative,1.0
six months gone good working nothing seen any abnormalitie no doubt go forward,negative,5.0
product is good but sewing time the rope gets stuck,negative,3.0
worst product i have seen full plastic and low quality,negative,1.0
not grinding properly rice get pop outside making to clean full kitchen bad product,negative,1.0
there is no worth for money no details available in this product haier has cheating for this product no timer no digital display available in this product waste of the money,negative,2.0
low quality speakers by sony no bass nothing simply wate of mony,negative,1.0
never ever bought itit is too heavy to playstuff is of plasticits not for playingmoney totally waste,negative,1.0
its too bad after uses of 15 days the cord is burned dont buy it im too much disappointed,negative,1.0
i am not happy with the service it took too much time for installation after delivery the tv is good i am very happy with the performance and quality in this price,negative,4.0
thermal issue frequent crashes clock speed decreases at high temperature,negative,1.0
not satisfied with the product it takes too much of time to heat,negative,1.0
worse item they fool me please never buy this item,negative,1.0
i have choosed one starbecause when i use its shoe is tared,negative,1.0
this phone is disaster dont buy it hang hang hang all time,negative,1.0
not suitable for high speed max wireless is 35 mbps download and 15 mbps upload though we have high speed connection check this before buying,negative,2.0
finishing is good for this price but the screws provided were wrong size and had to buy another set of screws locally average product,negative,2.0
only one day only your product worked next day class automatical fell down,negative,1.0
my charger is damage broken data cable is not working data cable and charger is very normal from other mobile phone,negative,2.0
quality not good after 3 month sole break problem observed,negative,2.0
no installation from flipkart or bosch detergent price is rs 5000 for a pack of 90 tablets plus salt and rinse aid also required if water is hard think twice before buying,negative,1.0
tv is very slow and its hanging when watching movie using usb it getting struck,negative,1.0
ok but not as expected not useful after 7 years of age,negative,3.0
worst product washing quality is very bad i have used this machine for 20days it is not at the brand level machine stop selling this kind of useless product,negative,1.0
made in chinanot indian good old bajaj performanceslower than expecteddue to low specifications power 56w and 7240 cfm airflow plus 340 rpm check these specifications in other fans before buying,negative,1.0
dont like it you can not move it it has 2 wheels only worst quality,negative,1.0
performance okafter using few days i am providing rating not original one tv power button not working,negative,3.0
not stable and the base is not flat hence the phone is not stable also due to the weight of the phone the base leans forward and feels the phone will fall,negative,2.0
poor qualityits like disposable socks material so thin that after single use holes,negative,1.0
worst than worst product very less quality and they didnt send the batteries too dont buy it,negative,1.0
it is so tiny that is doesnt give any effect of humidifier just sittine next to it will give you aroma but not good for even small room,negative,1.0
it doesnt seems to be quality product stopped working in a day,negative,1.0
there is no fresh in car and it doesnt work after sometimes,negative,1.0
best product in that price but there is no base jali,negative,4.0
this is not good product finishing is very bad and your blade is not sharp totally bad product bad experience please dont purchase this product,negative,1.0
not worked after 1 day of usereplacement product received not sure how many days it will workreplacement product also stopped working after 10 days,negative,1.0
review after 2day used camera quality not goodspeaker also not very goodotherwise good product under this price segment fast speed,negative,3.0
it need a router to work no instructions there is no information about the router in review of the product,negative,1.0
it is the best budget range dslr for beginners but if you use a heavy lens it may damage the body,negative,4.0
the sound is poor battery backup is not great i just use it for callslow volume yet itll not last long more than 4 years,negative,2.0
itching on eyes started after first time apply itself not sure abt the originality of the product,negative,1.0
such a bad quality productgrip is no good at all quite irritating after wearit can easily wear out while swimming,negative,1.0
wrost experience flip kart not arranged for demo and customer care is not working i think i was trying to reach them but its unresponsive its better to avoid buying consumer electronics from flipkart,negative,1.0
very bad productno base no clear sound totally waste product,negative,1.0
waste of money dont buy this product wasting of time,negative,1.0
sound is flat it is not having a bass not happy with this product,negative,2.0
taking more than 4 hours to go from red to blue,negative,1.0
dont buy after returning period is over then downloading and uploading speed become 20 mbps in starting it was 100 mbpsdont buy itbuy toshiba harddrive,negative,1.0
nice product for online classes but storage problem in this price problem,negative,1.0
product got damaged after 15 days very poor product this platform is nit trustablemany time i used to buy but platform make me very disappoint,negative,1.0
products is very good but this time flipkart service is very bad because they hand over to gati parcels service thier service is very bad,negative,5.0
no one comes here for installation till date item is good we all buy haier product only problem is with installation on one comes feeling so insulted,negative,4.0
this is good product but connecting no longer destenceand sound quality is no longer,negative,3.0
the product is excellent but when connected it plays white sound low buzzing noise continuously,negative,3.0
dont buy this hindware has very bad servicei feel guilty on buying this trash product because it stopped working after 1 month of purchase and still it is not repaired after so many complaints,negative,2.0
when i am use this product the product quality is to much bad and it remove in 10 min so this is very poor kajal,negative,2.0
please dont buy this stick is very lagging and thare is no refund or return option worst this,negative,1.0
i dont want to give any star to this toy what a useless toy very bad quality product dont buy this toy remot control range is very poor quality wastage of money,negative,1.0
dont buy this product waste of money very very poor quality after one time use the clamps will come out,negative,1.0
read and write speed is quite not as mentioned in the specifications i am getting 70 mbps of reading and 6 mbps of writing speed besides that everything is ok,negative,3.0
absolutely a great product there is no lag and no reduction in songs quality,negative,5.0
the product worked but unfortunately i could not connect it with my wifi replaced unit also failed the same way,negative,1.0
not working properly it is not fast charger very sloe charger,negative,1.0
one inside partition board out of three is damaged and one anchor is missing out of two,negative,2.0
initially app is not available in google play storefinally when we opened the kit the liquid was drained out due to improper sealingkit was not useful due to unavailability of liquid,negative,1.0
got this 2 days agopros1 does what it sayscons1 build quality is very bad feels cheaper,negative,3.0
hight is small not enough place the cap handling is not easy takes time to close holder size is tiny to fix the stick,negative,2.0
cons low brightnesslow sound as compared to asus tuf 15 inchprosprice 4825017 inch,negative,3.0
very unsatisfied after 15 days speaker is spoil cant hear pls guys dont buy,negative,1.0
products is very bad is se achh too ander wear hota hai,negative,1.0
this fridge is not convertible however nice product looks premium and durable,negative,5.0
very bad product its broken in few days not usefull for me not happy with buy this product,negative,1.0
got damaged productadapter not working andsometimes files are automatically deleting when ising in gopro and dslr cameras,negative,1.0
today i bought itnd why front sticker came outits was very disappointing for melooks are very goodweels are goodbut steaker was creating problemplz do something for that,negative,2.0
after two times of its use all the parts became lose we changed even the motor and belt,negative,1.0
return 2 times both time blades are bend received and motor have extra sound,negative,1.0
it has stoped working after few days totally fraud product,negative,1.0
its used very rarely to make breakfast of my kid the guesture mode has stopped working,negative,2.0
big problem is headphones not saport in this tabonly blootooth headphones saport,negative,3.0
coil burning smell right from the beginningnot grinding properly sound level above 85 dbwaste of money,negative,1.0
good product but remote range is not too good even battery charge drops quickly,negative,5.0
we have received defect itemits not working properly from the first day itselfwater outflow is not stopping after purification completed alsowe have raised request 5 days backtill now we didnt receive response from service person,negative,1.0
if u r looking for a normal football then this one is not a good option good quality and tough material,negative,4.0
it stoped working within few daysit is stucking to much waste of time and money,negative,1.0
its really have really pathetic operating knob its broken after 2 day use really disappointed,negative,1.0
horrible signal strength couldnt return the product alsomy old d link normal router giving me better signal strength than this,negative,1.0
quality is not good installation is way to difficultwhile installation placstic got crack,negative,2.0
picture colour quality could be better not that vibrant and is whitish means no colour,negative,5.0
got some issue after fixing the product the water leaking out from product,negative,1.0
worst sound voice is not clearyou can listen only music,negative,1.0
very poor product i ordered and got the product only after one month,negative,1.0
really pathetic device facing issue form the day of purchase suggest to not to buy device,negative,1.0
while running the grinder the plastic panel vibrating getting noise too muchif im holding it then it is not cominglooks like the missing quality of the product,negative,3.0
its is worst product ever dont its not working properly,negative,1.0
this product display not clarty spekers resound please give me tv amount,negative,1.0
poor quality set top box remote is poor not working fast,negative,1.0
bad dont buy kent products above 700tds in your raw water dont work,negative,1.0
waste of money too small in size and leaking when we use for how water or tea,negative,2.0
the stuff is good but it is some costlier with deliver charges,negative,4.0
after use 1year 1 month use regular 3months water pump not working crompton use very bad product,negative,2.0
sound khud vslo kinte bass kadon nainormal speksr ar moto sound,negative,1.0
very bad product regret purchase emits a plastic smell after boiling water and they wont give refund dont buy cheap chinese made product only sticker of pigeon dont buy waste of money,negative,1.0
as big billion day products are third class so dont buy products if it has 4050 discount,negative,1.0
paper quality is extremely poor as well as binding is not as expected i thik it will be torn after using regularly for 46 months,negative,1.0
i bought this as a standby as my lg convection model had a problem,negative,3.0
bucket quality is good but mop quality is low its not spinning,negative,1.0
used this product last one week not happy with the item the smell doesnt last much,negative,1.0
i print only 10 paper ink empty guys plz dont buy,negative,1.0
not worth for money only one time use it will useful thats all waste of money,negative,1.0
looking goodcolors combination good but installation work is quite difficult,negative,4.0
sound is not good missing speak option ok in less price,negative,3.0
quality is so poor dipers are not usable as material used is of very inferior quality,negative,1.0
worst ever tablet build quality is very cheap heat up too fast and viewing experience is also average considering its price it totally waste of money,negative,1.0
excellent camera by hero group but made in china product so i am not happy,negative,5.0
the chimney was good but the installation guy was pathetic i had to manually install the pipeps i got cheated as the installation guy overcharged me please be careful while installing it,negative,1.0
quality not that much goodvery poor stitchingbut its looks nicebetter to keep kids cloth,negative,3.0
plastic smell is observed after washstains still remain afterwash not satisfied with the product,negative,3.0
mixture motor is good but parts and body is very very very bad motor is high capacity and parts is non waight motor and parts not matchis,negative,1.0
very disappointed very thin and already broken on first day,negative,1.0
